title,genre,rating
Isekai wa Smartphone to Tomo ni. 2,"['Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Giả tưởng']","['8.1', '381']"
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Giả tưởng']","['8.5', '384']"
Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei (Ss2),"['Anime', 'Hành động', 'Tình cảm', 'Harem']","['6.8', '214']"
Isekai Nonbiri Nouka,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Siêu nhiên']","['9.2', '632']"
Futoku no Guild,"['Anime', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Shounen', 'Harem']","['7.2', '130']"
5-toubun no Hanayome Movie,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường']","['9.1', '285']"
Kakkou no Iinazuke,"['Anime', 'Hài hước', 'Tình cảm', 'Harem']","['9.0', '479']"
Arifureta Shokugyou de Sekai Saikyou 2nd Season,"['Anime', 'Hành động', 'Harem', 'Giả tưởng', 'Phiêu lưu']","['9.4', '1052']"
Kuro no Shoukanshi,"['Anime', 'Hành động', 'Harem', 'Giả tưởng', 'Phiêu lưu']","['8.6', '445']"
Kaii to Otome to Kamikakushi,"['Anime', 'Bí ẩn', 'Siêu nhiên']","['7.7', '47']"
Majo to Yajuu,"['Anime', 'Hành động', 'Bí ẩn', 'Giả tưởng', 'Seinen']","['8.1', '115']"
Kusuriya no Hitorigoto,"['Anime', 'Bí ẩn', 'Lịch sử', 'Drama']","['9.1', '367']"
Dark Gathering,"['Anime', 'Hành động', 'Bí ẩn', 'Siêu nhiên', 'Kinh dị']","['9.0', '304']"
Spy Kyoushitsu 2nd Season,"['Anime', 'Hành động', 'Bí ẩn', 'Giả tưởng']","['8.0', '61']"
Bungou Stray Dogs 5th Season,"['Anime', 'Hành động', 'Bí ẩn', 'Siêu năng lực', 'Seinen', 'Siêu nhiên']","['9.1', '141']"
Yakitori: Soldiers of Misfortune,"['Anime', 'Hành động', 'Bí ẩn', 'Viễn tưởng']","['NaN', '8']"
