title,genre,rating
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,"['Anime', 'Học đường', 'Đời thường', 'Âm nhạc']","['7.0', '41']"
Irodorimidori,"['Anime', 'Đời thường', 'Âm nhạc']","['7.8', '29']"
Ai no Utagoe wo Kikasete,"['Anime', 'Giả tưởng', 'Học đường', 'Âm nhạc', 'Drama']","['9.1', '78']"
Shoujo☆Kageki Revue Starlight Movie,"['Anime', 'Học đường', 'Âm nhạc']","['6.9', '20']"
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,"['Anime', 'Học đường', 'Âm nhạc']","['5.5', '22']"
Lookism,"['Anime', 'Hài hước', 'Học đường', 'Đời thường', 'Psychological', 'Drama']","['8.3', '63']"
Summertime Render,"['Anime', 'Psychological', 'Drama', 'Siêu nhiên']","['9.5', '843']"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,"['Anime', 'Học đường', 'Psychological', 'Drama']","['9.5', '979']"
Kaguya-sama wa Kokurasetai: Ultra Romantic,"['Anime', 'Hài hước', 'Tình cảm', 'Học đường', 'Psychological']","['9.6', '662']"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) Final Season - Asaki Yume no Akatsuki,"['Anime', 'Psychological', 'Drama']","['7.1', '28']"
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,"['Anime', 'Hành động', 'Kinh dị', 'Bí ẩn', 'Psychological']","['8.7', '97']"
TRESE: Người Bảo Vệ Thành Phố ,"['Anime', 'Kinh dị', 'Psychological']","['6.1', '14']"
Yakusoku no Neverland 2nd Season,"['Anime', 'Viễn tưởng', 'Shounen', 'Bí ẩn', 'Psychological', 'Thriller']","['9.5', '794']"
Beastars 2nd Season,"['Anime', 'Đời thường', 'Shounen', 'Drama', 'Psychological']","['8.8', '149']"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"['Anime', 'Giả tưởng', 'Drama', 'Psychological', 'Thriller']","['9.3', '1269']"
Higurashi no Naku Koro ni Gou,"['Anime', 'Kinh dị', 'Siêu nhiên', 'Bí ẩn', 'Psychological', 'Thriller']","['8.1', '135']"
 Munou na Nana,"['Anime', 'Shounen', 'Drama', 'Psychological', 'Siêu năng lực', 'Thriller']","['7.9', '332']"
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen Season 2,"['Anime', 'Tình cảm', 'Hài hước', 'Học đường', 'Seinen', 'Psychological']","['9.8', '1318']"
Re:Zero kara Hajimeru Isekai Seikatsu,"['Anime', 'Giả tưởng', 'Drama', 'Psychological', 'Thriller', 'Tình cảm']","['9.2', '2273']"
Pet,"['Anime', 'Siêu nhiên', 'Bí ẩn', 'Seinen', 'Psychological']","['7.6', '57']"
 Magia Record: Mahou Shoujo Madoka★Magica Gaiden,"['Anime', 'Drama', 'Psychological', 'Thriller']","['7.8', '71']"
Beastars,"['Anime', 'Đời thường', 'Shounen', 'Drama', 'Psychological']","['9.0', '212']"
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni,"['Anime', 'Hành động', 'Viễn tưởng', 'Drama', 'Psychological']","['9.5', '34']"
Psycho-Pass: Sinners of the System Case.2 – First Guardian,"['Anime', 'Hành động', 'Viễn tưởng', 'Drama', 'Psychological']","['8.2', '23']"
Psycho-Pass: Sinners of the System Case.1 - Tsumi to Bachi,"['Anime', 'Hành động', 'Viễn tưởng', 'Drama', 'Psychological']","['8.5', '38']"
Kakegurui××,"['Anime', 'Học đường', 'Shounen', 'Trò chơi', 'Bí ẩn', 'Drama', 'Psychological']","['9.5', '553']"
Boogiepop wa Warawanai,"['Anime', 'Kinh dị', 'Siêu nhiên', 'Bí ẩn', 'Psychological']","['7.6', '1194']"
Inuyashiki,"['Drama', 'Anime', 'Hành động', 'Psychological', 'Viễn tưởng']","['9.3', '453']"
Bullbuster,"['Anime', 'Hành động', 'Mecha', 'Viễn tưởng']","['4.8', '31']"
Suisei no Gargantia Specials,"['Anime', 'Hành động', 'Viễn tưởng', 'Mecha']","['8.3', '43']"
Gundam Build Metaverse,"['Anime', 'Mecha']","['6.0', '21']"
Synduality: Noir,"['Anime', 'Mecha', 'Viễn tưởng']","['9.3', '124']"
Mobile Suit Gundam: Suisei no Majo Season 2,"['Anime', 'Hành động', 'Mecha', 'Viễn tưởng']","['7.0', '69']"
Alice Gear Aegis Expansion,"['Anime', 'Hành động', 'Mecha', 'Viễn tưởng']","['4.8', '73']"
Megaton-kyuu Musashi 2nd Season,"['Anime', 'Hành động', 'Học đường', 'Mecha', 'Viễn tưởng']","['3.0', '67']"
Mobile Suit Gundam: The Witch from Mercury,"['Anime', 'Hành động', 'Mecha', 'Quân đội', 'Viễn tưởng']","['7.5', '154']"
Muv-Luv Alternative 2nd Season,"['Anime', 'Hành động', 'Mecha', 'Quân đội', 'Drama', 'Viễn tưởng']","['4.0', '56']"
Kyoukai Senki,"['Anime', 'Hành động', 'Mecha']","['8.2', '119']"
Date A Live IV,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Học đường', 'Mecha']","['9.7', '593']"
Megaton-kyuu Musashi,"['Anime', 'Hành động', 'Giả tưởng', 'Học đường', 'Mecha']","['5.5', '57']"
86 (Eighty Six) 2nd Season,"['Anime', 'Hành động', 'Giả tưởng', 'Mecha', 'Quân đội', 'Drama']","['9.7', '893']"
Gundam Breaker: Battlogue,"['Anime', 'Hành động', 'Mecha']","['4.6', '28']"
Gyakuten Sekai no Denchi Shoujo,"['Anime', 'Hành động', 'Giả tưởng', 'Mecha']","['7.8', '73']"
Sakugan,"['Anime', 'Giả tưởng', 'Mecha']","['7.7', '65']"
Muv-Luv Alternative,"['Anime', 'Hành động', 'Giả tưởng', 'Mecha', 'Quân đội']","['6.3', '89']"
IS: Infinite Stratos SS1,"['Anime', 'Hành động', 'Hài hước', 'Viễn tưởng', 'Harem', 'Shounen', 'Mecha']","['9.1', '818']"
Evangelion: 3.0 1.0 Thrice Upon a Time,"['Anime', 'Hành động', 'Viễn tưởng', 'Drama', 'Mecha']","['9.4', '75']"
86 (Eighty Six),"['Anime', 'Hành động', 'Giả tưởng', 'Drama', 'Mecha', 'Quân đội']","['9.5', '770']"
Planet With,"['Anime', 'Hành động', 'Viễn tưởng', 'Mecha']","['7.4', '16']"
SSSS.Dynazenon,"['Anime', 'Hành động', 'Viễn tưởng', 'Mecha']","['6.1', '107']"
Shin Sakura Taisen the Animation,"['Anime', 'Hành động', 'Viễn tưởng', 'Phiêu lưu', 'Mecha']","['7.9', '38']"
Promare,"['Anime', 'Hành động', 'Viễn tưởng', 'Mecha', 'Siêu năng lực']","['8.4', '48']"
Levius,"['Anime', 'Hành động', 'Viễn tưởng', 'Seinen', 'Mecha']","['7.6', '49']"
Code Geass: Fukkatsu no Lelouch | Code Geass: Lelouch of the Resurrection,"['Anime', 'Hành động', 'Viễn tưởng', 'Drama', 'Mecha', 'Siêu năng lực', 'Quân đội']","['9.9', '422']"
Frame Arms Girl Movie: Kyakkya Ufufu na Wonderland,"['Anime', 'Hành động', 'Hài hước', 'Viễn tưởng', 'Đời thường', 'Mecha']","['9.1', '27']"
Shingeki no Kyojin: The Final Season Part 3,"['Anime', 'Hành động', 'Giả tưởng', 'Quân đội', 'Drama']","['9.7', '395']"
Phong Hỏa Chiến Kỷ,"['Hành động', 'Giả tưởng', 'Quân đội', 'Viễn tưởng', 'CN Animation', 'Khoa huyễn']","['5.0', '43']"
Kantai Collection Itsuka Ano Umi de,"['Anime', 'Hành động', 'Học đường', 'Quân đội', 'Viễn tưởng']","['4.0', '53']"
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,"['Anime', 'Quân đội', 'Drama', 'Viễn tưởng']","['3.5', '47']"
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"['Anime', 'Hành động', 'Quân đội', 'Drama', 'Viễn tưởng']","['4.1', '34']"
Shingeki no Kyojin: The Final Season Part 2,"['Anime', 'Hành động', 'Giả tưởng', 'Siêu năng lực', 'Quân đội', 'Drama']","['9.5', '770']"
Genjitsu Shugi Yuusha no Oukoku Saikenki 2nd Season,"['Anime', 'Hành động', 'Tình cảm', 'Quân đội', 'Harem']","['9.4', '641']"
Dolls' Frontline,"['Anime', 'Hành động', 'Quân đội', 'Drama', 'Viễn tưởng']","['7.3', '90']"
Girls & Panzer: Saishuushou Part 3,"['Học đường', 'Quân đội']","['7.1', '23']"
Genjitsu Shugi Yuusha no Oukoku Saikenki,"['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Harem', 'Quân đội']","['9.4', '990']"
World Witches Take Off!,"['Anime', 'Hành động', 'Hài hước', 'Đời thường', 'Ecchi', 'Quân đội']","['6.7', '36']"
Azur Lane: Bisoku Zenshin!,"['Anime', 'Hài hước', 'Viễn tưởng', 'Đời thường', 'Quân đội']","['9.0', '57']"
Shingeki no Kyojin: The Final Season,"['Anime', 'Hành động', 'Giả tưởng', 'Siêu nhiên', 'Shounen', 'Bí ẩn', 'Drama', 'Quân đội']","['9.6', '1048']"
Soukou Musume Senki,"['Anime', 'Hành động', 'Giả tưởng', 'Quân đội']","['6.7', '39']"
Senyoku no Sigrdrifa,"['Anime', 'Hành động', 'Quân đội']","['7.7', '57']"
Strike Witches: Road to Berlin,"['Anime', 'Hành động', 'Viễn tưởng', 'Ecchi', 'Quân đội']","['7.1', '48']"
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen","['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Quân đội']","['9.2', '801']"
Gekijouban High School Fleet ,"['Anime', 'Hành động', 'Viễn tưởng', 'Phiêu lưu', 'Học đường', 'Đời thường', 'Quân đội']","['9.3', '28']"
Sousou no Frieren,"['Anime', 'Giả tưởng', 'Drama', 'Phiêu lưu']","['9.4', '479']"
"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga","['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Drama', 'Dị giới']","['7.7', '199']"
Maboroshi,"['Anime', 'Tình cảm', 'Drama']","['7.6', '56']"
Tokyo Revengers: Tenjiku-hen,"['Anime', 'Hành động', 'Drama', 'Siêu nhiên']","['4.3', '318']"
Bokura no Ameiro Protocol,"['Anime', 'Hành động', 'Drama']","['6.3', '76']"
Hametsu No Okoku,"['Anime', 'Hành động', 'Drama', 'Siêu nhiên']","['7.1', '186']"
Tate no Yuusha no Nariagari Season 3,"['Anime', 'Hành động', 'Giả tưởng', 'Drama', 'Phiêu lưu']","['8.9', '274']"
Delicious in Dungeon,"['Anime', 'Hành động', 'Hài hước', 'Seinen', 'Siêu nhiên']","['8.7', '165']"
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,"['Anime', 'Hành động', 'Hài hước', 'Seinen', 'Siêu nhiên', 'Kinh dị']","['9.1', '419']"
Hoshikuzu Telepath,"['Anime', 'Siêu nhiên', 'Hài hước', 'Seinen']","['6.9', '56']"
Under Ninja,"['Anime', 'Hành động', 'Seinen']","['6.4', '56']"
Mononogatari 2nd Season,"['Anime', 'Hành động', 'Seinen', 'Siêu nhiên']","['8.4', '85']"
My Home Hero,"['Anime', 'Drama', 'Seinen']","['8.4', '162']"
Kimi wa Houkago Insomnia,"['Anime', 'Tình cảm', 'Học đường', 'Seinen']","['8.6', '176']"
Oshi no Ko,"['Anime', 'Drama', 'Seinen', 'Siêu nhiên']","['9.0', '649']"
Otonari ni Ginga,"['Anime', 'Hài hước', 'Tình cảm', 'Seinen']","['8.5', '199']"
Isekai One Turn Kill Nee-san,"['Anime', 'Hài hước', 'Giả tưởng', 'Seinen']","['7.0', '142']"
Tengoku Daimakyou,"['Anime', 'Hành động', 'Giả tưởng', 'Seinen', 'Phiêu lưu', 'Viễn tưởng']","['8.1', '258']"
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"['Anime', 'Hài hước', 'Tình cảm', 'Học đường', 'Drama', 'Seinen']","['8.7', '161']"
Hoshi no Samidare,"['Anime', 'Hành động', 'Hài hước', 'Drama', 'Seinen', 'Phiêu lưu']","['5.7', '108']"
Shadows House 2nd Season,"['Anime', 'Đời thường', 'Seinen', 'Siêu nhiên']","['8.4', '126']"
Blue Thermal,"['Drama', 'Seinen']","['5.9', '12']"
Deaimon,"['Anime', 'Đời thường', 'Seinen']","['8.7', '172']"
Hakozume: Kouban Joshi no Gyakushuu,"['Anime', 'Hài hước', 'Đời thường', 'Seinen']","['7.7', '72']"
Non Non Biyori Nonstop (Ss3),"['Anime', 'Hài hước', 'Đời thường', 'Seinen']","['8.8', '91']"
Blue Period,"['Anime', 'Học đường', 'Đời thường', 'Drama', 'Seinen']","['9.3', '239']"
Stand By Me Doraemon 2,"['Anime', 'Hài hước', 'Seinen', 'Viễn tưởng']","['9.5', '103']"
Yami Shibai 12,"['Anime', 'Siêu nhiên', 'Kinh dị']","['3.4', '13']"
Bách Yêu Phổ Phần 4,"['Siêu nhiên', 'CN Animation', '[CNA] Hài hước']","['7.2', '25']"
Kurayukaba,"['Anime', 'Siêu nhiên', 'Viễn tưởng']","['NaN', '5']"
Ma Nữ Vô Tri,"['Hài hước', 'Siêu nhiên', 'CN Animation']","['5.2', '37']"
Himesama ,"['Anime', 'Hài hước', 'Siêu nhiên']","['6.5', '80']"
The Boy and the Heron,"['Anime', 'Hành động', 'Phiêu lưu']","['9.4', '23']"
Kami wa Game ni Ueteiru,"['Anime', 'Hành động', 'Phiêu lưu', 'Viễn tưởng']","['5.1', '94']"
"Tensei Kizoku, Kantei Skill de Nariagaru","['Anime', 'Hành động', 'Phiêu lưu', 'Viễn tưởng']","['8.4', '185']"
Make My Day,"['Anime', 'Phiêu lưu', 'Kinh dị', 'Viễn tưởng']","['NaN', '5']"
Akuma-kun,"['Anime', 'Siêu nhiên', 'Kinh dị']","['7.1', '13']"
Pluto,"['Anime', 'Hành động', 'Kinh dị', 'Viễn tưởng']","['7.3', '11']"
Good Night World,"['Anime', 'Hành động', 'Giả tưởng', 'Kinh dị']","['6.4', '24']"
Yami Shibai 11,"['Anime', 'Siêu nhiên', 'Kinh dị']","['4.1', '42']"
Jujutsu Kaisen (TV),"['Anime', 'Hành động', 'Kinh dị', 'Học đường', 'Siêu nhiên', 'Shounen', 'Demon']","['9.6', '1866']"
Itou Junji: Maniac,"['Anime', 'Siêu nhiên', 'Kinh dị']","['3.2', '27']"
Chainsaw Man,"['Hành động', 'Shounen', 'Siêu nhiên', 'Kinh dị', 'Anime']","['9.4', '1470']"
Yami Shibai 10,"['Anime', 'Siêu nhiên', 'Kinh dị']","['5.6', '83']"
Mieruko-chan,"['Anime', 'Hài hước', 'Siêu nhiên', 'Kinh dị']","['9.6', '542']"
Yami Shibai 9th Season,"['Anime', 'Kinh dị', 'Siêu nhiên']","['4.5', '54']"
Yamishibai: Japanese Ghost Stories 8,"['Anime', 'Kinh dị', 'Siêu nhiên', 'Demon']","['4.7', '61']"
Dorohedoro,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Kinh dị', 'Seinen']","['7.2', '344']"
  Tenkuu Shinpan,"['Anime', 'Hành động', 'Kinh dị', 'Bí ẩn']","['8.7', '85']"
Bem Movie: Become Human,"['Anime', 'Hành động', 'Kinh dị', 'Siêu nhiên', 'Demon']","['8.5', '35']"
Zashiki Warashi no Tatami-chan,"['Anime', 'Kinh dị', 'Siêu nhiên']","['8.2', '24']"
Kyochuu Rettou Movie,"['Anime', 'Kinh dị']","['8.6', '45']"
Bem,"['Anime', 'Hành động', 'Kinh dị', 'Siêu nhiên', 'Demon']","['9.3', '196']"
KYOCHUU RETTOU,"['Anime', 'Kinh dị', 'Phiêu lưu', 'Ecchi', 'Drama']","['8.3', '51']"
Yamishibai: Japanese Ghost Stories 7,"['Anime', 'Kinh dị', 'Siêu nhiên']","['4.4', '228']"
KOUTETSUJOU NO KABANERI MOVIE: UNATO KESSEN,"['Anime', 'Hành động', 'Giả tưởng', 'Kinh dị', 'Drama']","['9.9', '644']"
Yofukashi no Uta,"['Anime', 'Tình cảm', 'Siêu nhiên', 'Ma cà rồng']","['9.0', '502']"
Vampire in the Garden,"['Anime', 'Hành động', 'Giả tưởng', 'Ma cà rồng']","['9.0', '100']"
Vanitas no Carte 2nd Season,"['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Siêu năng lực', 'Ma cà rồng']","['9.4', '414']"
Vanitas no Carte,"['Anime', 'Hành động', 'Lịch sử', 'Giả tưởng', 'Siêu nhiên', 'Shounen', 'Ma cà rồng']","['9.5', '562']"
Strike the Blood IV,"['Anime', 'Hành động', 'Giả tưởng', 'Siêu nhiên', 'Ecchi', 'Ma cà rồng']","['9.3', '343']"
Vlad Love,"['Anime', 'Hài hước', 'Học đường', 'Siêu nhiên', 'Ma cà rồng']","['7.0', '45']"
Noblesse,"['Anime', 'Hành động', 'Học đường', 'Siêu nhiên', 'Ma cà rồng']","['9.6', '661']"
UQ Holder! Mahou Sensei Negima! 2 OVA,"['Anime', 'Hành động', 'Ecchi', 'Shounen', 'Ma cà rồng']","['9.4', '156']"
Strike the Blood III,"['Anime', 'Hành động', 'Tình cảm', 'Siêu nhiên', 'Harem', 'Ma cà rồng', 'Siêu năng lực', 'Ecchi']","['9.6', '892']"
Zoku Owarimonogatari,"['Anime', 'Hài hước', 'Siêu nhiên', 'Bí ẩn', 'Ma cà rồng']","['9.2', '262']"
UQ Holder! Mahou Sensei Negima! 2,"['Anime', 'Hành động', 'Phiêu lưu', 'Siêu nhiên', 'Ma cà rồng', 'Siêu năng lực']","['9.3', '533']"
Tenrou: Sirius the Jaeger,"['Anime', 'Hành động', 'Lịch sử', 'Kinh dị', 'Siêu nhiên', 'Ma cà rồng']","['9.5', '2005']"
Devils Line,"['Anime', 'Hành động', 'Tình cảm', 'Siêu nhiên', 'Drama', 'Seinen', 'Ma cà rồng']","['9.2', '828']"
Kekkai Sensen  Beyond (Ss2),"['Anime', 'Hành động', 'Giả tưởng', 'Siêu nhiên', 'Ma cà rồng', 'Siêu năng lực']","['9.3', '254']"
Strike the Blood II,"['Anime', 'Hành động', 'Giả tưởng', 'Học đường', 'Siêu nhiên', 'Ecchi', 'Shounen', 'Ma cà rồng']","['9.2', '517']"
Kizumonogatari III: Reiketsu-hen,"['Anime', 'Hành động', 'Phiêu lưu', 'Bí ẩn', 'Ma cà rồng']","['9.7', '153']"
Noblesse: Awakening,"['Anime', 'Hành động', 'Học đường', 'Siêu nhiên', 'Ma cà rồng']","['9.5', '294']"
Princess Resurrection Ova,"['Anime', 'Hành động', 'Hài hước', 'Ecchi', 'Shounen', 'Ma cà rồng']","['7.3', '11']"
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,"['Anime', 'Tình cảm', 'Hài hước', 'Giả tưởng', 'Harem', 'Ma cà rồng']","['9.0', '64']"
Owari no Seraph: Owaranai Seraph,"['Anime', 'Siêu nhiên', 'Shounen', 'Drama', 'Ma cà rồng']","['8.9', '108']"
Owari no Seraph: Kyuuketsuki Shahar,"['Anime', 'Hành động', 'Siêu nhiên', 'Shounen', 'Drama', 'Ma cà rồng']","['9.0', '127']"
Kizumonogatari II: Nekketsu-hen,"['Anime', 'Hành động', 'Siêu nhiên', 'Bí ẩn', 'Ma cà rồng']","['9.1', '117']"
Kishiryu Sentai Ryusoulger,"['Anime', 'Tokusatsu']","['7.1', '206']"
Kamen Rider Saber,"['Anime', 'Tokusatsu']","['7.0', '86']"
Kamen Rider Saber: The Phoenix Swordsman and the Book of Ruin,"['Anime', 'Tokusatsu']","['6.3', '16']"
Kamen Rider Zero-One,"['Anime', 'Tokusatsu']","['8.9', '192']"
"Kamen Rider Zi-O NEXT TIME: Geiz, Majesty","['Anime', 'Tokusatsu']","['8.4', '20']"
Kamen Rider: Reiwa The First Generation,"['Anime', 'Tokusatsu']","['8.8', '29']"
Kamen Rider Zi-O: Over Quartzer,"['Anime', 'Tokusatsu']","['8.5', '28']"
Kamen Rider Zi-O,"['Anime', 'Tokusatsu']","['8.5', '1287']"
Rider Time: Shinobi,"['Anime', 'Tokusatsu']","['7.9', '36']"
Rider Time: Ryuki,"['Anime', 'Tokusatsu']","['8.0', '95']"
Xây Dựng Thế Giới Mới - Kamen Rider Vượt Qua-Z,"['Anime', 'Tokusatsu']","['8.4', '107']"
Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger,"['Anime', 'Tokusatsu']","['7.4', '508']"
Kamen Rider Build,['Tokusatsu'],"['9.0', '1065']"
Uchu Sentai Kyuranger,"['Anime', 'Tokusatsu']","['8.4', '112']"
Kamen Rider Den-O,"['Anime', 'Tokusatsu']","['7.7', '67']"
Kamen Rider Ex-Aid,"['Anime', 'Tokusatsu']","['8.6', '407']"
Kamen Rider Amazon 2,"['Anime', 'Tokusatsu']","['8.6', '34']"
Kamen Rider Heisei generations,['Tokusatsu'],"['7.4', '35']"
Kamen Rider Amazon,"['Anime', 'Tokusatsu']","['8.0', '36']"
Doubutsu Sentai Zyuohger The Movie: Dokidoki Circus Panic!,"['Anime', 'Tokusatsu']","['6.8', '13']"
Kamen Rider Brave,"['Tokusatsu', 'Anime']","['8.1', '34']"
Samurai Angel Wars Gal Basara,['Tokusatsu'],"['NaN', '10']"
Samurai Sentai Shinkenger The Movie : The Fateful War,"['Tokusatsu', 'Anime']","['6.4', '18']"
Samurai Sentai Shinkenger,"['Tokusatsu', 'Anime']","['7.9', '38']"
Ressha Sentai ToQger,"['Tokusatsu', 'Anime']","['NaN', '10']"
ToQGer Hyper Battle DVD,"['Tokusatsu', 'Anime']","['NaN', '4']"
Ressha Sentai ToQger the Movie: Galaxy Line S.O.S.,"['Tokusatsu', 'Anime']","['NaN', '4']"
Ressha Sentai ToQger vs Kyoryuger: The Movie,"['Tokusatsu', 'Anime']","['NaN', '9']"
Ressha Sentai ToQger Returns: Super ToQ 7gou of Dreams,"['Tokusatsu', 'Anime']","['NaN', '4']"
Kamen Rider Decade,"['Anime', 'Tokusatsu']","['8.8', '117']"
Monsters: Ippyaku Sanjou Hiryuu Jigoku,"['Anime', 'Hành động', 'Samurai', 'Viễn tưởng']","['6.7', '37']"
Onimusha,"['Anime', 'Hành động', 'Hài hước', 'Samurai']","['4.0', '12']"
Bucchigire!,"['Anime', 'Hành động', 'Samurai']","['6.1', '104']"
Peace Maker Kurogane,"['Anime', 'Hành động', 'Hài hước', 'Lịch sử', 'Shounen', 'Samurai']","['5.3', '21']"
Bakumatsu,"['Anime', 'Hành động', 'Lịch sử', 'Samurai']","['4.2', '20']"
Yasuke,"['Anime', 'Hành động', 'Phiêu lưu', 'Samurai']","['7.1', '45']"
Bakumatsu: Crisis,"['Anime', 'Hành động', 'Lịch sử', 'Samurai']","['4.0', '42']"
Kochouki: Wakaki Nobunaga,"['Anime', 'Hành động', 'Lịch sử', 'Drama', 'Samurai']","['9.0', '186']"
Gintama.: Shirogane no Tamashii-hen 2,"['Anime', 'Hành động', 'Lịch sử', 'Hài hước', 'Viễn tưởng', 'Shounen', 'Samurai']","['9.3', '824']"
Angolmois: Genkou Kassenki,"['Anime', 'Hành động', 'Lịch sử', 'Kinh dị', 'Drama', 'Quân đội', 'Samurai']","['9.1', '715']"
Gintama. Porori-hen,"['Anime', 'Hành động', 'Lịch sử', 'Hài hước', 'Viễn tưởng', 'Shounen', 'Samurai']","['9.0', '110']"
Drifters Specials,"['Anime', 'Hành động', 'Lịch sử', 'Hài hước', 'Giả tưởng', 'Phiêu lưu', 'Seinen', 'Samurai']","['9.2', '70']"
Samurai Deeper Kyou,"['Anime', 'Hành động', 'Lịch sử', 'Hài hước', 'Phiêu lưu', 'Siêu nhiên', 'Shounen', 'Samurai']","['6.6', '34']"
Jubei Chan Ss2,"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Samurai']","['6.6', '11']"
Jubei Chan,"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Drama', 'Samurai']","['7.5', '11']"
Gintama (2017),"['Anime', 'Hành động', 'Lịch sử', 'Hài hước', 'Shounen', 'Samurai']","['8.9', '182']"
Mutsu Enmei Ryuu Gaiden: Shura no Toki,"['Anime', 'Hành động', 'Lịch sử', 'Viễn tưởng', 'Shounen', 'Samurai']","['7.6', '17']"
Samurai Champloo,"['Anime', 'Hành động', 'Lịch sử', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Samurai']","['8.9', '61']"
Samurai Jack,"['Anime', 'Hành động', 'Samurai']","['7.8', '21']"
Afro Samurai Movie,"['Anime', 'Hành động', 'Phiêu lưu', 'Samurai']","['NaN', '7']"
Afro Samurai,"['Anime', 'Hành động', 'Samurai']","['9.6', '34']"
Soul Buster,"['Anime', 'Hành động', 'Samurai']","['7.3', '25']"
Drifters,"['Anime', 'Hành động', 'Lịch sử', 'Hài hước', 'Giả tưởng', 'Phiêu lưu', 'Seinen', 'Samurai']","['9.5', '282']"
Gintama: Shinyaku Benizakura-hen,"['Anime', 'Hành động', 'Lịch sử', 'Hài hước', 'Viễn tưởng', 'Shounen', 'Samurai']","['8.7', '69']"
Blood of Zeus (Season 2),"['Anime', 'Hành động', 'Phiêu lưu', 'Viễn tưởng']","['NaN', '9']"
 T・P BON,"['Anime', 'Hành động', 'Phiêu lưu', 'Viễn tưởng']","['NaN', '8']"
Ninja Kamui,"['Anime', 'Hành động', 'Viễn tưởng']","['8.9', '304']"
Metallic Rouge,"['Anime', 'Hành động', 'Viễn tưởng']","['6.5', '50']"
Trò Chơi Sống Còn,"['Hành động', 'Phiêu lưu', 'Viễn tưởng', 'CN Animation']","['6.8', '73']"
Dr. Stone: New World,"['Anime', 'Hành động', 'Hài hước', 'Viễn tưởng']","['9.5', '584']"
Boushoku no Berserk,"['Anime', 'Hành động', 'Viễn tưởng']","['8.6', '374']"
My Daemon,"['Anime', 'Hành động', 'Phiêu lưu', 'Viễn tưởng']","['9.2', '72']"
AI no Idenshi,"['Anime', 'Shounen', 'Drama', 'Viễn tưởng']","['7.3', '41']"
Thiếu Nữ Điện Khí,"['Hài hước', 'Viễn tưởng', 'CN Animation']","['NaN', '9']"
Khóa Chặt Cửa Nào Suzume,"['Anime', 'Tình cảm', 'Siêu nhiên', 'Phiêu lưu', 'Viễn tưởng']","['9.6', '221']"
Thôn Phệ Tinh Không,"['CN Animation', 'Huyền ảo', 'Khoa huyễn']","['9.7', '4518']"
Nghịch Thiên Chí Tôn,"['CN Animation', 'Tiên hiệp', 'Trùng sinh']","['7.5', '584']"
Vô Thượng Thần Đế,"['CN Animation', 'Tiên hiệp', 'Trùng sinh', 'Huyền ảo']","['8.0', '749']"
Độc Bộ Tiêu Dao,"['CN Animation', 'Kiếm hiệp', 'Huyền ảo', 'Xuyên không', 'Trùng sinh']","['7.4', '664']"
Võ Thần Chúa Tể,"['CN Animation', 'Tiên hiệp', 'Xuyên không', 'Trùng sinh', 'Huyền ảo']","['8.5', '1121']"
Tiên Võ Truyện,"['CN Animation', 'Tiên hiệp', 'Huyền ảo']","['8.4', '435']"
Tiên Nghịch,"['CN Animation', 'Tiên hiệp', 'Huyền ảo']","['9.3', '1233']"
Thiếu Niên Bạch Mã Túy Xuân Phong Phần 2,"['CN Animation', 'Kiếm hiệp']","['NaN', '3']"
 Thiếu Niên Bạch Mã Túy Xuân Phong,['CN Animation'],"['NaN', '2']"
Đấu Phá Thương Khung Phần 5,"['CN Animation', 'Huyền ảo']","['9.0', '2454']"
Bách Luyện Thành Thần,"['CN Animation', 'Kiếm hiệp', 'Huyền ảo', 'Dị giới']","['8.4', '649']"
Luyện Khí Mười Vạn Năm,"['CN Animation', 'Tiên hiệp', 'Huyền ảo']","['8.5', '699']"
